,report_date,location,Abrive,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
849,4/20/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,60,cases
850,4/20/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
937,4/13/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
938,4/13/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,54,cases
1025,4/6/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,55,cases
1026,4/6/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1111,3/30/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,46,cases
1112,3/30/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1191,3/23/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,43,cases
1192,3/23/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1267,3/16/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,42,cases
1268,3/16/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1339,3/9/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1340,3/9/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,25,cases
1399,2/24/16,New_York,NY,state,zika_reported_local,US0002,NA,NA,0,cases
1400,2/24/16,New_York,NY,state,zika_reported_travel,US0001,NA,NA,17,cases
65,6/29/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,16,cases
66,6/29/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
163,6/22/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,15,cases
164,6/22/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
261,6/15/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,15,cases
262,6/15/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
357,6/8/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,11,cases
358,6/8/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
445,6/1/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
446,6/1/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,12,cases
533,5/25/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,12,cases
534,5/25/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
611,5/11/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,11,cases
612,5/11/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
687,5/4/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,11,cases
688,5/4/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
763,4/27/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,10,cases
764,4/27/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
851,4/20/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,10,cases
852,4/20/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
939,4/13/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,9,cases
940,4/13/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1027,4/6/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,8,cases
1028,4/6/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1113,3/30/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,7,cases
1114,3/30/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1193,3/23/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,7,cases
1194,3/23/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1269,3/16/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1270,3/16/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,6,cases
1341,3/9/16,North_Carolina,NC,state,zika_reported_local,US0002,NA,NA,0,cases
1342,3/9/16,North_Carolina,NC,state,zika_reported_travel,US0001,NA,NA,5,cases
73,6/29/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,31,cases
74,6/29/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
365,6/8/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,23,cases
366,6/8/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
453,6/1/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
454,6/1/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,19,cases
541,5/25/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
542,5/25/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,19,cases
619,5/11/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
620,5/11/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,18,cases
695,5/4/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
696,5/4/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,17,cases
771,4/27/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
772,4/27/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,16,cases
859,4/20/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,15,cases
860,4/20/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
947,4/13/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
948,4/13/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,12,cases
1035,4/6/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,12,cases
1036,4/6/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1121,3/30/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,11,cases
1122,3/30/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1201,3/23/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,8,cases
1202,3/23/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1277,3/16/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,8,cases
1278,3/16/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1349,3/9/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1350,3/9/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,6,cases
1405,2/24/16,Pennsylvania,PA,state,zika_reported_local,US0002,NA,NA,0,cases
1406,2/24/16,Pennsylvania,PA,state,zika_reported_travel,US0001,NA,NA,4,cases
77,6/29/16,Rhode_Island,RI,state,zika_reported_local,US0002,NA,NA,0,cases
78,6/29/16,Rhode_Island,RI,state,zika_reported_travel,US0001,NA,NA,15,cases
175,6/22/16,Rhode_Island,RI,state,zika_reported_local,US0002,NA,NA,0,cases
176,6/22/16,Rhode_Island,RI,state,zika_reported_travel,US0001,NA,NA,11,cases
273,6/15/16,Rhode_Island,RI,state,zika_reported_local,US0002,NA,NA,0,cases
274,6/15/16,Rhode_Island,RI,state,zika_reported_travel,US0001,NA,NA,8,cases
79,6/29/16,South_Carolina,RI,state,zika_reported_local,US0002,NA,NA,0,cases
80,6/29/16,South_Carolina,RI,state,zika_reported_travel,US0001,NA,NA,6,cases
177,6/22/16,South_Carolina,RI,state,zika_reported_local,US0002,NA,NA,0,cases
178,6/22/16,South_Carolina,RI,state,zika_reported_travel,US0001,NA,NA,1,cases
275,6/15/16,South_Carolina,RI,state,zika_reported_local,US0002,NA,NA,0,cases
276,6/15/16,South_Carolina,RI,state,zika_reported_travel,US0001,NA,NA,1,cases
89,6/29/16,Vermont,VT,state,zika_reported_local,US0002,NA,NA,0,cases
90,6/29/16,Vermont,VT,state,zika_reported_travel,US0001,NA,NA,2,cases
187,6/22/16,Vermont,VT,state,zika_reported_local,US0002,NA,NA,0,cases
188,6/22/16,Vermont,VT,state,zika_reported_travel,US0001,NA,NA,1,cases
285,6/15/16,Vermont,VT,state,zika_reported_local,US0002,NA,NA,0,cases
286,6/15/16,Vermont,VT,state,zika_reported_travel,US0001,NA,NA,1,cases
91,6/29/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
92,6/29/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,27,cases
189,6/22/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
190,6/22/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,27,cases
287,6/15/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
288,6/15/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,26,cases
377,6/8/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
378,6/8/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,20,cases
463,6/1/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
464,6/1/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,18,cases
553,5/25/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
554,5/25/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,15,cases
629,5/11/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
630,5/11/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,15,cases
705,5/4/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,13,cases
706,5/4/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
781,4/27/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,12,cases
782,4/27/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
871,4/20/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,10,cases
872,4/20/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
959,4/13/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
960,4/13/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,8,cases
1047,4/6/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,8,cases
1048,4/6/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1133,3/30/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,8,cases
1134,3/30/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1211,3/23/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1212,3/23/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,7,cases
1287,3/16/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,7,cases
1288,3/16/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1359,3/9/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,6,cases
1360,3/9/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1415,2/24/16,Virginia,VA,state,zika_reported_local,US0002,NA,NA,0,cases
1416,2/24/16,Virginia,VA,state,zika_reported_travel,US0001,NA,NA,3,cases
